Timestamp,orderId,distributorId,originalDistributorId,hubId,quantity,Amount,hubCode,,,,,,,
13/09/22 2:30,49,1,1,1,4,555.04,a,,,,,,,
13/09/22 2:30,203,1,1,1,4,851.04,a,,,,,,,
13/09/22 2:30,143,1,1,1,1,1137.64,a,,,,,,,
13/09/22 2:30,118,1,1,1,3,859.92,a,,,,,,,
13/09/22 2:30,167,1,1,1,6,11453.2,a,,,,,,,
13/09/22 2:30,255,1,1,1,2,1164.2,a,,,,,,,
13/09/22 2:30,263,1,1,1,14,442.19,a,,,,,,,
13/09/22 2:30,137,1,1,1,3,664.88,a,,,,,,,
13/09/22 2:30,53,1,1,1,10,841.44,a,,,,,,,
13/09/22 2:30,216,1,,1,1,175.68,a,,,,,,,
13/09/22 2:30,139,1,1,1,1,750.85,a,,,,,,,
13/09/22 2:30,24,1,1,1,2,709.3,a,,,,,,,
13/09/22 2:30,71,1,1,1,6,4421.55,a,,,,,,,
13/09/22 2:30,223,1,1,1,5,469.36,a,,,,,,,
13/09/22 2:30,11,1,1,1,2,486.82,a,,,,,,,
13/09/22 2:30,217,1,1,,3,19.95,a,,,,,,,
13/09/22 2:30,93,1,1,1,2,59.12,a,,,,,,,
13/09/22 2:30,237,1,1,1,15,1307.95,a,,,,,,,
13/09/22 2:30,240,1,1,1,2,302.64,a,,,,,,,
13/09/22 2:30,188,1,1,1,5,1080.63,a,,,,,,,
13/09/22 2:30,106,1,1,1,3,2267.5,a,,,,,,,
13/09/22 2:30,8,1,1,1,14,7260.05,a,,,,,,,
13/09/22 2:30,68,1,1,1,2,2947.59,a,,,,,,,
13/09/22 2:30,145,1,1,1,1,849.5,a,,,,,,,
13/09/22 2:30,174,1,1,1,3,4144.2,a,,,,,,,
13/09/22 2:30,142,1,,1,3,997.35,a,,,,,,,
13/09/22 2:30,240,1,1,1,6,2947.55,a,,,,,,,
13/09/22 2:30,70,1,1,1,3,327.93,a,,,,,,,
13/09/22 2:30,12,1,1,1,2,1173.45,a,,,,,,,
13/09/22 2:30,149,1,1,1,2,719.2,a,,,,,,,
13/09/22 2:30,34,1,1,1,1,1429.38,a,,,,,,,
13/09/22 2:30,182,1,1,1,10,84.6,a,,,,,,,
13/09/22 2:30,141,1,1,1,6,4395.5,a,,,,,,,
13/09/22 2:30,11,1,1,1,3,4268.43,a,,,,,,,
13/09/22 2:30,254,1,1,1,2,1826.1,a,,,,,,,
13/09/22 2:30,241,1,1,1,4,328.02,a,,,,,,,
13/09/22 2:30,89,1,1,1,1,110.67,a,,,,,,,
13/09/22 2:30,201,1,1,1,1,339.18,a,,,,,,,
13/09/22 2:30,164,1,1,1,6,462.3,a,,,,,,,
13/09/22 2:30,160,1,1,1,1,596.24,a,,,,,,,
13/09/22 2:30,65,1,1,1,2,486.87,a,,,,,,,
13/09/22 2:30,102,1,1,1,1,209.72,a,,,,,,,
13/09/22 2:30,42,1,1,1,3,474.28,a,,,,,,,
13/09/22 2:30,165,1,1,1,5,4934.96,a,,,,,,,
13/09/22 2:30,20,1,1,1,3,764.65,a,,,,,,,
13/09/22 2:30,65,1,1,1,10,4917.51,a,,,,,,,
13/09/22 2:30,36,1,1,1,1,474.3,a,,,,,,,
13/09/22 2:30,5,1,1,1,3,1850.87,a,,,,,,,
13/09/22 2:30,196,1,1,1,12,813.68,a,,,,,,,
